espn_team_id,name,nickname,abbreviation,logo,display_name,short_display_name
2494,Central,Central,,,Central,
18,Gibraltar,Gibraltar,GIBR,https://a.espncdn.com/i/teamlogos/cricket/500/18.png,Gibraltar,GIBR
3708,United States of America Under-19s,United States of America Under-19s,USA19,https://a.espncdn.com/i/teamlogos/cricket/500/3708.png,United States of America Under-19s,USA19
549983,Barisal Burners,Barisal Burners,Burnr,,Barisal Burners,Burnr
3476,Singapore Under-17s,Singapore Under-17s,,,Singapore Under-17s,
448376,Indian Board President's Women XI,Indian Board President's Women XI,IBPW,https://a.espncdn.com/i/teamlogos/cricket/500/448376.png,Indian Board President's Women XI,IBPW
3858,Zimbabwe A,Zimbabwe A,ZIM-A,https://a.espncdn.com/i/teamlogos/cricket/500/3858.png,Zimbabwe A,ZIM-A
954,England A Women,England A Women,ENA-W,https://a.espncdn.com/i/teamlogos/cricket/500/954.png,England A Women,ENA-W
11,United States of America,United States of America,USA,https://a.espncdn.com/i/teamlogos/cricket/500/11.png,United States of America,USA
503,Scarborough,Scarborough,,,Scarborough,
2074,Saurashtra Under-22s,Saurashtra Under-22s,,,Saurashtra Under-22s,
513417,Berkshire Under-17s,Berkshire Under-17s,,,Berkshire Under-17s,
271866,Zimbabwe Women,Zimbabwe Women,ZIM-W,https://a.espncdn.com/i/teamlogos/cricket/500/271866.png,Zimbabwe Women,ZIM-W
2308,Malaysia Under-17s,Malaysia Under-17s,,https://a.espncdn.com/i/teamlogos/cricket/500/2308.png,Malaysia Under-17s,
28,Namibia,Namibia,NAM,https://a.espncdn.com/i/teamlogos/cricket/500/28.png,Namibia,NAM
291852,Kenya Select XI,Kenya Select XI,,,Kenya Select XI,
222257,Karachi Urban,Karachi Urban,Urban,,Karachi Urban,Urban
1751,Holkar,Holkar,,,Holkar,
3715,Anguilla,Anguilla,ANGUI,,Anguilla,ANGUI
3667,Uganda Women,Uganda Women,UGA-W,https://a.espncdn.com/i/teamlogos/cricket/500/3667.png,Uganda Women,UGA-W
1447,Wiltshire,Wiltshire,WilSH,https://a.espncdn.com/i/teamlogos/cricket/500/1447.png,Wiltshire,WilSH
743631,Super 3s Team A,Super 3s Team A,SUP3A,,Super 3s Team A,SUP3A
1160567,Balkh Legends,Balkh Legends,BL,https://a.espncdn.com/i/teamlogos/cricket/500/1160567.png,Balkh Legends,BL
1148,London County,London County,LdnCy,,London County,LdnCy
1641,Chandigarh,Chandigarh,CHD,https://a.espncdn.com/i/teamlogos/cricket/500/1641.png,Chandigarh,CHD
115,Mongolia,Mongolia,MNG,https://a.espncdn.com/i/teamlogos/cricket/500/115.png,Mongolia,MNG
1208118,Manchester Originals (Women),Manchester Originals (Women),MO-W,https://a.espncdn.com/i/teamlogos/cricket/500/1208118.png,Manchester Originals (Women),MO-W
3454,Scotland Women,Scotland Women,SCO-W,https://a.espncdn.com/i/teamlogos/cricket/500/3454.png,Scotland Women,SCO-W
3085,Sargodha,Sargodha,,,Sargodha,
545928,Namibia Women,Namibia Women,NAM-W,https://a.espncdn.com/i/teamlogos/cricket/500/545928.png,Namibia Women,NAM-W
3727,Berbice,Berbice,,,Berbice,
464,Queensland Colts,Queensland Colts,,,Queensland Colts,
50439,Rahula College,Rahula College,,,Rahula College,
2833,Lahore,Lahore,,,Lahore,
557190,Western Province Women (Sri Lanka),Western Province Women (Sri Lanka),WPW,,Western Province Women (Sri Lanka),WPW
1220,Norfolk,Norfolk,Norf,,Norfolk,Norf
906,Derbyshire Cricket Board,Derbyshire Cricket Board,,,Derbyshire Cricket Board,
2615,Abbottabad Cricket Association Under-19s,Abbottabad Cricket Association Under-19s,,,Abbottabad Cricket Association Under-19s,
2563,New Zealand Women,New Zealand Women,NZ-W,https://a.espncdn.com/i/teamlogos/cricket/500/2563.png,New Zealand Women,NZ-W
3529,St. Joseph's College,St. Joseph's College,STJOS,,St. Joseph's College,STJOS
452393,Thailand Under-16s,Thailand Under-16s,,,Thailand Under-16s,
354385,Stanford Superstars,Stanford Superstars,Super,,Stanford Superstars,Super
39822,Model Town Green,Model Town Green,,,Model Town Green,
