id,position,cricsheet_name,unique_name,batting_style,bowling_style,matchpoints_avg,cost
732c9016,Unknown,JE Scott,JE Scott,Right-hand bat,Right-arm medium,9.428571429,7
a0a27cd4,Batting allrounder,J Jagroo,J Jagroo,Right-hand bat,Right-arm offbreak,4.125,7
ce1abd25,Unknown,J Jemison,J Jemison,Right-hand bat,,13,7
9bc324b5,Batting allrounder,JR Barry,JR Barry,Right-hand bat,Right-arm bowler,13,7
a268c07b,Batting allrounder,K Hinds,K Hinds,Left-hand bat,Slow left-arm orthodox,23.125,7
3dd31834,Allrounder,ML Ford,ML Ford,Left-hand bat,Right-arm bowler,4.5,7
7f2cb055,Allrounder,MS Graham,MS Graham,Right-hand bat,Right-arm medium,11.875,7
92075cdc,Opening batter,M Taylor,M Taylor,Left-hand bat,Right-arm offbreak,15.3,7
00c98c78,Bowler,NH Ekanayake,NH Ekanayake,Left-hand bat,Slow left-arm orthodox,18,7
e8637dc9,Middle-order batter,O Stewart,O Stewart,Right-hand bat,Right-arm medium,0,7
7ce244fd,Unknown,RA Tappin,RA Tappin,Right-hand bat,Right-arm offbreak,0,7
7804d401,Unknown,R Davson,R Davson,Right-hand bat,,0,7
26815eee,Unknown,R Parkes,R Parkes,,,18,7
fc30a5b7,Bowler,RP Mitchell,RP Mitchell,Right-hand bat,Right-arm fast,13.875,7
fd1041d2,Unknown,Rudolph Fox,Rudolph Fox,Left-hand bat,Left-arm medium,,6
c83ef4d6,Unknown,Sandeep Goud,Sandeep Goud (2),Left-hand bat,Left-arm medium-fast,,7
e4bc45e0,Unknown,T Brown,T Brown,,,0,7
01396dc6,Unknown,Abeera Waris,Abeera Waris,Right-hand bat,Right-arm medium-fast,2.368421053,7
384cebed,Unknown,Abdul Majid,Abdul Majid,Left-hand bat,Slow left-arm orthodox,12.38461538,7
396100de,Unknown,Adil Hanif,Adil Hanif,Right-hand bat,Right-arm offbreak,19.88888889,7
ba42c0d7,Unknown,Adnan Butt,Adnan Butt,Right-hand bat,,13.125,7
afbc53ba,Unknown,Ahmer Bin Nisar,Ahmer Bin Nisar,Right-hand bat,,3.717948718,7
5.97E+11,Bowler,Ali Dawood,Ali Dawood,Right-hand bat,Right-arm medium,26.2,7
3a6c6e3a,Unknown,Ammad Uddin,Ammad Uddin,Right-hand bat,Right-arm offbreak,0,7
e7353cbb,Unknown,Anasim Khan,Anasim Khan,Right-hand bat,Right-arm fast-medium,12.9375,7
bc19544d,Unknown,A Samildeen,A Samildeen,Right-hand bat,Right-arm medium-fast,-0.777777778,7
5581a471,Unknown,Ashwini Govinda,Ashwini Govinda,Right-hand bat,,1.714285714,7
6ecb54f6,Unknown,Awad Khan,Awad Khan,Right-hand bat,Right-arm medium,8.2,7
6cb83e8c,Unknown,Azeem ul Haq,Azeem ul Haq,Right-hand bat,Right-arm offbreak,9.043478261,7
4b69776c,Unknown,Bilal Mansoor,Bilal Mansoor,Right-hand bat,Right-arm medium,16.5,7
d24ad3e5,Unknown,Danish Jasnaik,Danish Jasnaik,Left-hand bat,Legbreak,4.727272727,7
b619f825,Unknown,D Bhaskara,D Bhaskara,Right-hand bat,Right-arm medium-fast,1.823529412,7
781ca33a,Unknown,Durriya Malik,Durriya Malik,Right-hand bat,Right-arm medium,-1,7
bec5cab9,Unknown,DK Mathias,DK Mathias,Right-hand bat,Right-arm medium,3.333333333,7
e6a7c6e2,Unknown,G Axtell,G Axtell,Right-hand bat,Right-arm medium,15.75,7
df1f2f29,Unknown,Fiaz Ahmed,Fiaz Ahmed,Right-hand bat,,6.045454545,7
4e2def5c,Unknown,G Fernando,G Fernando,Right-hand bat,Right-arm medium-fast,1.307692308,7
d1d15fc9,Unknown,GSPR Arachchige,GSPR Arachchige,Right-hand bat,Legbreak googly,20.14285714,7
14fd10b5,Middle-order batter,Haider Butt,Haider Butt,Right-hand bat,Right-arm offbreak,8.816901408,7
